category_name,category_created_by,category_created_date,project_created_by,project_created_date,project_description,project_end_date,project_start_date,project_story_name,epic_created_by,epic_created_date,epic_description,epic_end_date,epic_epic_name,epic_start_date,story_closed_by,story_created_by,story_created_date,story_description,story_end_date,story_start_date,story_STATUS,story_task_name,story_updated_date,
Delivery,Ha G,2014-06-16 07:00:00,Bhaskar V.,2015-04-17 16:03:27,,,,Set-up model to create proven value at scale across engagements,Bhaskar V.,2015-04-17 16:04:11,"Done through \
- Upsell/cross-sell opportunities and  \
- renewals/extensions for each client",,Evidence clear value to crayon,,Ha G,Bhaskar V.,2015-04-17 16:04:59,,2015-04-23 00:00:00,2015-04-23 00:00:00,3,Set-up and launch qualification process across Sales/Solg/Marketing teams,2015-05-05 09:24:09,
Delivery,Ha G,2014-06-16 07:00:00,Bhaskar V.,2015-04-17 16:03:27,,,,Set-up model to create proven value at scale across engagements,Bhaskar V.,2015-04-17 16:04:11,"Done through \
- Upsell/cross-sell opportunities and  \
- renewals/extensions for each client",,Evidence clear value to crayon,,Bhaskar V.,Bhaskar V.,2015-04-17 16:05:08,,2015-04-22 00:00:00,2015-04-20 00:00:00,1,Set-up and launch fortnightly engagement review model across BD/Solg/Del,2015-05-04 13:59:01,
Delivery,Ha G,2014-06-16 07:00:00,Bhaskar V.,2015-04-17 16:03:27,,,,Set-up model to create proven value at scale across engagements,Bhaskar V.,2015-04-17 16:04:23,"Done through\
- Setting up tests/processes to prove effectiveness of Choices being delivered  \
- Increased response rate on campaigns executed  \
- Increased revenues for clients",,Evidence clear value to client,,Bhaskar V.,Bhaskar V.,2015-04-17 16:05:35,,2015-04-23 00:00:00,2015-04-23 00:00:00,3,Create and launch Delivery Portal,2015-05-02 06:19:17,
Delivery,Ha G,2014-06-16 07:00:00,Bhaskar V.,2015-04-17 16:03:27,,,,Set-up model to create proven value at scale across engagements,Bhaskar V.,2015-04-17 16:04:23,"Done through\
- Setting up tests/processes to prove effectiveness of Choices being delivered  \
- Increased response rate on campaigns executed  \
- Increased revenues for clients",,Evidence clear value to client,,Bhaskar V.,Bhaskar V.,2015-04-17 16:05:43,,,2015-05-02 06:19:28,2,Develop standard templates for each stage of engagement,2015-05-02 06:19:28,
Delivery,Ha G,2014-06-16 07:00:00,Bhaskar V.,2015-04-17 16:03:27,,,,Set-up model to create proven value at scale across engagements,Bhaskar V.,2015-04-17 16:04:23,"Done through\
- Setting up tests/processes to prove effectiveness of Choices being delivered  \
- Increased response rate on campaigns executed  \
- Increased revenues for clients",,Evidence clear value to client,,Bhaskar V.,Bhaskar V.,2015-04-17 16:05:48,,2015-04-22 00:00:00,2015-04-18 00:00:00,0,Develop and train teams on delivery standards expected,2015-05-04 13:58:44,
Delivery,Ha G,2014-06-16 07:00:00,Bhaskar V.,2015-04-17 16:03:27,,,,Set-up model to create proven value at scale across engagements,Bhaskar V.,2015-04-17 16:04:30,"- using and validating existing use cases, data, channels \
- identifying and establishing new channels, connectors and other features",,Evidence clear value to product,,Bhaskar V.,Bhaskar V.,2015-04-17 16:06:03,,,2015-05-04 13:59:14,3,Develop and finalise Product Features and Use Case list (current & road-map),2015-05-04 13:59:16,
Delivery,Ha G,2014-06-16 07:00:00,Bhaskar V.,2015-04-17 16:03:27,,,,Set-up model to create proven value at scale across engagements,Bhaskar V.,2015-04-17 16:04:30,"- using and validating existing use cases, data, channels \
- identifying and establishing new channels, connectors and other features",,Evidence clear value to product,,Bhaskar V.,Bhaskar V.,2015-04-17 16:06:10,,,2015-05-02 06:20:08,0,"Create and launch template for defining new use cases, features identified through delivery engagements",2015-05-02 06:20:08,
Delivery,Ha G,2014-06-16 07:00:00,Bhaskar V.,2015-04-17 16:03:27,,,,Set-up model to create proven value at scale across engagements,Bhaskar V.,2015-04-17 16:04:36,"Done through \
- Validated Use Cases signed off by clients across products and verticals  \
- Referrals and testimonials from satisfied clients",,Evidence clear value to network ,,Bhaskar V.,Bhaskar V.,2015-04-17 16:06:21,,2015-05-15 00:00:00,2015-04-21 00:00:00,2,Create templates for client use cases (internal & external),2015-05-04 13:39:11,
Delivery,Ha G,2014-06-16 07:00:00,Bhaskar V.,2015-04-17 16:03:27,,,,Set-up model to create proven value at scale across engagements,Bhaskar V.,2015-04-17 16:04:36,"Done through \
- Validated Use Cases signed off by clients across products and verticals  \
- Referrals and testimonials from satisfied clients",,Evidence clear value to network ,,Bhaskar V.,Bhaskar V.,2015-04-17 16:06:29,,2015-05-30 00:00:00,2015-04-21 00:00:00,1,Establish a process to merge success cases from each engagement into Kaleidoscope,2015-05-04 13:39:15,
Delivery,Ha G,2014-06-16 07:00:00,Bhaskar V.,2015-04-17 16:07:08,,2015-10-31 00:00:00,2014-05-11 00:00:00,Prove value for each existing/past client,Nick Abraham,2015-04-17 16:07:57,,2015-09-30 00:00:00,Renew GLH and find extensions,2015-04-21 00:00:00,,Nick Abraham,2015-04-17 16:08:29,,2015-06-30 00:00:00,2015-04-21 00:00:00,5,GLH CoB migrate into Maya back-end and get every property VCGM to use,2015-05-20 10:37:53,
